Frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
88,633,351,940,635,1346,695,1235,389,1802,1026,1165,743,1004,842
89,633,351,940,636,1345,694,1235,390,1802,1026,1164,743,1005,840
90,632,350,942,636,1345,692,1234,390,1804,1025,1164,744,1004,841
91,633,351,941,637,1344,692,1235,390,1803,1025,1165,743,1003,840
92,633,351,941,638,1344,692,1234,389,1804,1024,1164,742,1003,841
93,632,350,941,638,1342,692,1235,388,1803,1026,1164,742,1002,840
94,632,350,940,636,1344,693,1237,389,1804,1025,1165,742,1002,841
95,631,349,940,635,1342,694,1236,387,1802,1024,1165,743,1003,840
96,631,350,940,635,1341,693,1237,387,1803,1025,1165,742,1003,842
97,632,350,940,636,1341,695,1236,387,1803,1024,1164,743,1003,842
98,631,350,941,635,1341,695,1236,388,1804,1025,1166,743,1002,843
99,632,350,940,637,1342,694,1235,388,1804,1025,1165,744,1004,843
100,631,350,941,636,1342,695,1236,389,1804,1025,1165,743,1003,842
101,631,350,942,636,1342,697,1237,388,1804,1025,1165,745,1004,842
102,631,350,942,636,1343,697,1238,388,1804,1027,1164,744,1003,842
103,631,350,943,636,1343,698,1237,388,1804,1027,1164,744,1003,841
104,631,351,942,635,1342,697,1238,387,1804,1027,1164,746,1003,842
105,631,350,943,637,1343,696,1238,388,1803,1027,1164,746,1003,842
106,631,350,942,638,1342,696,1237,387,1803,1028,1164,746,1002,841
107,630,351,942,637,1342,698,1237,385,1803,1029,1164,747,1003,842
108,631,350,940,637,1342,699,1236,386,1803,1029,1164,749,1002,842
109,630,351,940,638,1343,700,1236,387,1803,1030,1164,749,1000,841
110,631,351,939,637,1344,699,1236,387,1804,1029,1164,750,1001,840
111,630,351,938,638,1343,700,1235,386,1804,1030,1164,749,1002,840
112,631,350,939,637,1343,700,1233,386,1803,1030,1164,749,1003,837
113,630,350,938,637,1343,701,1233,385,1802,1029,1165,749,1002,837
114,631,350,938,638,1343,701,1233,385,1802,1029,1164,750,1004,837
115,630,351,938,638,1344,699,1232,386,1802,1028,1165,749,1003,837
116,631,351,938,637,1343,702,1233,385,1802,1028,1166,751,1005,837
117,630,350,937,637,1344,701,1232,388,1801,1028,1166,751,1004,839
118,631,351,936,636,1342,702,1233,387,1802,1027,1165,751,1003,839
119,631,351,936,636,1345,701,1233,387,1801,1027,1165,752,1003,839
120,630,353,936,637,1344,700,1232,386,1801,1027,1164,752,1002,838
121,631,352,935,637,1345,700,1232,386,1801,1027,1163,751,1002,840
122,631,352,936,638,1345,701,1232,386,1801,1027,1164,752,1000,841
123,630,352,936,637,1345,700,1232,385,1800,1027,1166,751,1000,840
124,631,351,935,638,1346,702,1231,385,1801,1027,1165,751,999,841
125,631,351,935,640,1346,702,1230,385,1801,1027,1166,751,999,841
126,631,351,935,639,1346,701,1229,384,1800,1026,1165,751,999,840
127,631,352,935,639,1345,701,1230,383,1801,1027,1164,752,1000,840
128,630,352,935,639,1344,702,1230,383,1800,1027,1164,750,1002,842
129,629,352,936,638,1344,702,1230,384,1799,1028,1162,750,1002,842
130,629,351,936,638,1344,702,1230,383,1801,1028,1162,749,1002,842
131,629,353,936,637,1344,703,1229,383,1800,1028,1160,750,1001,842
132,629,352,935,638,1344,702,1229,385,1801,1029,1160,750,1002,844
133,629,353,935,637,1345,702,1227,385,1800,1030,1161,751,1002,843
134,629,353,934,638,1344,702,1228,384,1800,1030,1161,750,1003,842
135,630,353,934,637,1344,703,1226,383,1800,1031,1161,749,1003,842
136,630,353,934,636,1344,704,1227,384,1799,1030,1161,751,1003,842
137,630,354,935,636,1345,704,1228,384,1800,1030,1161,750,1002,843
138,631,353,934,637,1344,704,1227,384,1800,1028,1162,750,1003,842
139,630,354,933,637,1345,703,1228,384,1800,1029,1161,749,1003,843
140,631,354,933,636,1346,704,1226,385,1801,1029,1161,749,1002,842
141,631,354,933,637,1346,705,1227,385,1801,1028,1162,750,1003,841
142,630,354,932,637,1346,705,1228,386,1802,1027,1163,750,1002,842
143,631,354,933,636,1345,706,1229,385,1804,1028,1163,751,1003,841
144,631,355,932,635,1344,705,1228,385,1802,1029,1162,751,1002,842
145,630,355,933,635,1343,704,1228,384,1803,1028,1162,753,1002,842
146,630,355,933,634,1343,705,1228,385,1803,1028,1161,751,1002,842
147,630,354,932,635,1345,705,1227,385,1804,1028,1162,751,1001,842
148,630,354,934,634,1344,705,1226,385,1803,1029,1162,751,1000,842
149,631,356,933,637,1345,705,1226,385,1803,1029,1162,751,1000,842
150,630,355,932,637,1345,706,1225,386,1803,1030,1162,751,1002,841
151,631,356,931,636,1346,706,1224,385,1804,1029,1162,750,1001,841
152,630,356,931,638,1346,705,1225,386,1804,1029,1162,750,1001,840
153,630,357,930,637,1345,706,1224,386,1804,1030,1161,750,1001,840
154,630,356,931,637,1346,706,1225,387,1804,1030,1163,748,1001,840
155,629,356,931,637,1347,707,1223,387,1805,1030,1161,748,1002,840
156,630,357,931,637,1345,705,1223,389,1804,1029,1160,748,1001,840
157,630,356,931,637,1344,707,1222,390,1805,1029,1160,747,1002,840
158,630,356,931,637,1344,706,1223,389,1805,1029,1159,748,1002,841
159,629,356,930,638,1344,706,1223,390,1805,1029,1159,746,1000,843
160,630,354,930,638,1343,705,1223,389,1805,1029,1160,747,998,843
161,630,356,931,638,1342,705,1222,390,1805,1030,1161,746,999,842
162,631,356,932,637,1341,706,1220,389,1803,1029,1162,746,999,842
163,630,356,931,638,1343,706,1220,389,1804,1030,1160,745,998,843
164,629,355,931,637,1342,706,1220,388,1803,1029,1162,743,997,843
165,629,355,931,637,1343,706,1222,389,1805,1030,1162,744,998,844
166,629,354,930,635,1343,706,1223,389,1803,1031,1163,745,996,844
167,629,354,929,635,1342,706,1222,388,1804,1031,1162,745,997,846
168,628,355,931,636,1343,704,1221,388,1803,1030,1161,745,997,845
169,628,355,929,636,1343,705,1222,388,1804,1031,1160,745,996,848
170,629,355,929,637,1342,704,1221,390,1803,1030,1161,746,997,847
171,629,355,931,636,1342,704,1222,389,1804,1030,1160,744,995,846
172,628,355,930,637,1341,703,1220,389,1803,1031,1161,746,997,847
173,629,355,930,636,1341,703,1220,389,1804,1030,1161,746,998,846
174,630,354,928,636,1340,704,1221,388,1801,1031,1161,746,999,845
175,629,354,930,637,1340,703,1221,388,1802,1030,1159,745,999,845
